cid,carYear,carCompany,dummy_company_code,carName,carCode
1,2011~2019,Audi,AUD,a6,C7
2,2009~2016,Benz,BEZ,eclass,W212
3,2014~2021,Benz,BEZ,cclass,W205
4,2010~2016,BMW,BMW,5series,F10
5,2011~2018,BMW,BMW,3series,F30
6,2009~2015,Chevrolet,CVL,spark,M300
7,2012~2017,Honda,HDA,accord,CR
8,2011~2017,Hyundai,HYD,granduer,HG
9,2012~2018,Hyundai,HYD,santafe,DM
10,2009~2016,Hyundai,HYD,sonata,YF
11,2010~2015,Hyundai,HYD,avante,MD
12,2004~present,Hyundai,HYD,porter,HR
13,2011~2017,KIA,KIA,ray,TAM
14,2011~2017,KIA,KIA,morining,TA
15,2010~2015,KIA,KIA,sportage,SL
16,2009~2014,KIA,KIA,sorento,XM
17,2014~2018,KIA,KIA,carnibal,YP
18,2012~2015,KIA,KIA,k3,YD
19,2010~2015,KIA,KIA,k5,TF
20,2012~2018,Lexus,LUX,ES350,XV60
21,2012~2018,Nissan,NSN,altima,L33
22,2011~2017,Toyota,TYT,camry,XV50
23,2009~2016,Toyota,TYT,prius,XW30
24,2013~2019,Volkswagen,VWG,golf,MK7
25,2007~2015,Volkswagen,VWG,tiguan,5N
26,2012~2016,Volkswagen,VWG,CC,3CC
